county,Age(2022)
Anderson,39.3
Andrews,32.2
Angelina,37.4
Aransas,49.7
Archer,42.7
Armstrong,43.3
Atascosa,35.9
Austin,41.5
Bailey,33.7
Bandera,52.5
Bastrop,37.2
Baylor,43.1
Bee,35.8
Bell,32.1
Bexar,34.6
Blanco,50.7
Borden,48.3
Bosque,46.4
Bowie,38.2
Brazoria,36.6
Brazos,26.7
Brewster,45.1
Briscoe,45.5
Brooks,33.4
Brown,42
Burleson,43
Burnet,45
Caldwell,37.5
Calhoun,40.1
Callahan,43.4
Cameron,32.5
Camp,37.6
Carson,41.3
Cass,43.7
Castro,34.4
Chambers,34.6
Cherokee,38.1
Childress,33.9
Clay,46.5
Cochran,36.3
Coke,45.7
Coleman,47.4
Collin,37.3
Collingsworth,39.1
Colorado,42.1
Comal,41.5
Comanche,43.9
Concho,47.4
Cooke,40.7
Coryell,32.8
Cottle,46.4
Crane,33.8
Crockett,40.2
Crosby,38
Culberson,40.7
Dallam,30.5
Dallas,34
Dawson,33.4
Deaf Smith,31.2
Delta,41.2
Denton,37
DeWitt,41.4
Dickens,48.5
Dimmit,34.3
Donley,42.2
Duval,35.3
Eastland,42.2
Ector,31.2
Edwards,48.3
Ellis,36.2
El Paso,33.2
Erath,32.1
Falls,39.6
Fannin,40.6
Fayette,47.6
Fisher,44.5
Floyd,38.2
Foard,47.9
Fort Bend,37.3
Franklin,43.3
Freestone,42.4
Frio,32.1
Gaines,28.1
Galveston,38.8
Garza,34.6
Gillespie,49.9
Glasscock,35.7
Goliad,45.9
Gonzales,37.3
Gray,37.8
Grayson,39.4
Gregg,36
Grimes,40.4
Guadalupe,37.9
Hale,34.2
Hall,44.3
Hamilton,45.5
Hansford,34.7
Hardeman,42.4
Hardin,39.2
Harris,34.5
Harrison,38.6
Hartley,40
Haskell,42.6
Hays,33.7
Hemphill,38.6
Henderson,43.7
Hidalgo,30.2
Hill,41.5
Hockley,35.9
Hood,46.2
Hopkins,39.2
Houston,44.2
Howard,37.6
Hudspeth,34.1
Hunt,37
Hutchinson,38.8
Irion,42.6
Jack,38.3
Jackson,39
Jasper,42
Jeff Davis,61.7
Jefferson,37
Jim Hogg,35
Jim Wells,35.8
Johnson,36.6
Jones,38.4
Karnes,35.2
Kaufman,33.9
Kendall,42.9
Kenedy,43.5
Kent,45.5
Kerr,47.9
Kimble,50.3
King,42.8
Kinney,41.8
Kleberg,28.4
Knox,39.2
Lamar,39.4
Lamb,36.9
Lampasas,43.7
La Salle,32.2
Lavaca,43.1
Lee,42.9
Leon,44.6
Liberty,33
Limestone,41.6
Lipscomb,41.4
Live Oak,40.6
Llano,57.7
Loving,35.3
Lubbock,31.5
Lynn,36.7
McCulloch,44.3
McLennan,33.5
McMullen,44.2
Madison,34.3
Marion,51.1
Martin,32.7
Mason,51
Matagorda,37.6
Maverick,30.2
Medina,39.3
Menard,51.4
Midland,32.4
Milam,41.9
Mills,49.3
Mitchell,34.9
Montague,42.9
Montgomery,37.1
Moore,31.9
Morris,42.1
Motley,49.3
Nacogdoches,32
Navarro,36.4
Newton,46.2
Nolan,38.4
Nueces,36.6
Ochiltree,33.1
Oldham,42.3
Orange,37.5
Palo Pinto,40.9
Panola,41
Parker,39.3
Parmer,35.3
Pecos,36.1
Polk,43.6
Potter,34.9
Presidio,38.7
Rains,47.2
Randall,36.6
Reagan,34.2
Real,52.3
Red River,46.2
Reeves,33.8
Refugio,42.6
Roberts,42.3
Robertson,41.3
Rockwall,37.4
Runnels,40.7
Rusk,39.3
Sabine,53.7
San Augustine,48.9
San Jacinto,45.1
San Patricio,36.4
San Saba,40
Schleicher,41
Scurry,36.1
Shackelford,42
Shelby,38.5
Sherman,36.1
Smith,37.1
Somervell,43.2
Starr,29.3
Stephens,40.1
Sterling,35.2
Stonewall,46.8
Sutton,41.1
Swisher,36.2
Tarrant,35.1
Taylor,32.7
Terrell,51.5
Terry,34.6
Throckmorton,45.9
Titus,34.4
Tom Green,35.6
Travis,35.6
Trinity,48.5
Tyler,42.7
Upshur,40.7
Upton,36.1
Uvalde,33.8
Val Verde,31.6
Van Zandt,42.1
Victoria,36.6
Walker,37.1
Waller,29.4
Ward,34.2
Washington,42.3
Webb,29.8
Wharton,37.5
Wheeler,41.2
Wichita,35
Wilbarger,39.7
Willacy,33.3
Williamson,37.1
Wilson,40.6
Winkler,35.1
Wise,39
Wood,48.7
Yoakum,30.1
Young,40.7
Zapata,30.6
Zavala,32.5
